Geographic Information Hemisphere|Geographic Information Continent|Geographic Information WHO region|Geographic Information FLU region|Geographic Information Country, area or territory|Geographic Information  Year|Geographic Information Week|Geographic Information Start date|Geographic Information End date|Geographic Information Age Group|Influenza like illness information Cases|Influenza like illness information Outpatients|Influenza like illness information Population covered|Influenza like illness information Outpatient Rate|Influenza like illness information Pop Rate|Influenza like illness information Sampled cases|Influenza like illness information Influenza positives|Influenza like illness information Influenza negatives|Influenza like illness information COVID-19 tested|Influenza like illness information COVID-19 positives|Influenza like illness information COVID-19 negatives|Influenza like illness information COVID-19 ratio|Severe acute respiratory infection information Cases|Severe acute respiratory infection information Inpatients|Severe acute respiratory infection information Population covered|Severe acute respiratory infection information Inpatient Rate|Severe acute respiratory infection information Pop Rate|Severe acute respiratory infection information Sampled cases|Severe acute respiratory infection information Influenza positives|Severe acute respiratory infection information Influenza negatives|Severe acute respiratory infection information COVID-19 tested|Severe acute respiratory infection information COVID-19 positives|Severe acute respiratory infection information COVID-19 negatives|Severe acute respiratory infection information COVID-19 ratio|Acute respiratory infection information Cases|Acute respiratory infection information Outpatients|Acute respiratory infection information Population covered|Acute respiratory infection information Outpatient Rate|Acute respiratory infection information Pop Rate|Pneumonia information Cases|Pneumonia information Inpatients|Pneumonia information Population covered|Pneumonia information Inpatient Rate|Pneumonia information Pop Rate|Qualitative indicators Geospread|Qualitative indicators Intensity|Qualitative indicators Trend|Qualitative indicators Impact
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|16|2022-04-18|2022-04-24|All|2348|||||2212|2|0||155||0.76|388|||||382|0|1||10||1.50||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|15|2022-04-11|2022-04-17|All|6712|||||6231|10|2||400||0.71|1289|||||1281|7|0||83||1.08||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|14|2022-04-04|2022-04-10|All|9681|||||8875|16|3||675||0.84|1595|||||1583|3|7||109||1.27||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|13|2022-03-28|2022-04-03|All|12085|||||11094|20|2||917||0.86|1797|||||1780|13|12||184||1.04||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|12|2022-03-21|2022-03-27|All|12671|||||11565|19|4||1049||0.79|1864|||||1852|9|8||181||1.35||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|11|2022-03-14|2022-03-20|All|12244|||||11342|15|5||1248||0.69|1975|||||1957|6|11||230||0.90||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|10|2022-03-07|2022-03-13|All|13817|||||12591|27|8||1873||0.77|2135|||||2116|6|4||340||1.04||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|9|2022-02-28|2022-03-06|All|16547|||||14700|22|3||2964||0.72|2548|||||2528|7|6||514||1.28||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|8|2022-02-21|2022-02-27|All|17446|||||15771|19|6||4046||0.78|2566|||||2542|6|14||769||1.28||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|7|2022-02-14|2022-02-20|All|23474|||||21366|25|9||7146||0.69|3475|||||3439|8|8||1333||1.21||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|6|2022-02-07|2022-02-13|All|28238|||||25293|33|9||11236||0.73|4343|||||4285|9|11||2260||1.21||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|5|2022-01-31|2022-02-06|All|43587|||||38595|33|1||18968||0.74|6331|||||6218|8|11||3879||1.24||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|4|2022-01-24|2022-01-30|All|65434|||||57425|38|9||33443||0.73|8079|||||7926|25|8||5342||1.10||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|3|2022-01-17|2022-01-23|All|97050|||||88209|86|6||53501||0.73|9695|||||9523|42|18||6631||1.08||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|2|2022-01-10|2022-01-16|All|121465|||||115564|199|4||67775||0.75|9662|||||9408|60|18||6044||0.98||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2022|1|2022-01-03|2022-01-09|All|103045|||||99852|405|12||49232||0.72|7261|||||7177|82|14||3928||0.95||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|52|2021-12-27|2022-01-02|All|34750|||||33705|192|3||13121||0.74|3373|||||3322|29|1||1014||0.87||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|51|2021-12-20|2021-12-26|All|21589|||||20901|209|3||5166||0.82|2991|||||2948|38|1||864||1.23||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|50|2021-12-13|2021-12-19|All|17084|||||16462|182|0||2672||0.87|2964|||||2924|44|4||834||1.18||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|49|2021-12-06|2021-12-12|All|18820|||||18109|138|1||2580||0.79|3029|||||2997|27|4||883||1.05||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|48|2021-11-29|2021-12-05|All|20696|||||19659|117|5||2992||0.83|3249|||||3219|37|15||1001||1.22||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|47|2021-11-22|2021-11-28|All|18935|||||17960|65|4||2802||0.82|3012|||||2990|23|25||929||1.16||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|46|2021-11-15|2021-11-21|All|21334|||||20438|43|11||3183||0.85|3300|||||3273|12|23||1084||1.22||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|45|2021-11-08|2021-11-14|All|19696|||||18965|11|12||2856||0.82|3220|||||3182|8|25||1044||1.24||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|44|2021-11-01|2021-11-07|All|21320|||||20561|6|15||3015||0.81|3386|||||3343|8|18||1108||1.29||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|43|2021-10-25|2021-10-31|All|20019|||||19194|7|8||3129||0.81|3093|||||3057|3|25||1083||1.26||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|42|2021-10-18|2021-10-24|All|24233|||||23247|8|11||3809||0.81|3450|||||3403|4|14||1210||1.24||||||||||||||
Northern hemishere|Americas|AMR|Central America and Caribbean|Mexico|2021|41|2021-10-11|2021-10-17|All|24324|||||23133|3|8||4029||0.83|3873|||||3818|1|26||1505||1.23||||||||||||||
