Country, area or territory|Received/ collected|Processed|A(H1N1)pdm09|A (H3)|A (H5)|A (not subtyped)|A (Total)|B (Yamagata lineage)|B (Victoria lineage)|B (lineage not determined)|B (Total)|Total number of influenza positive viruses|Total number of influenza negative viruses|ILI activity
Afghanistan|45|45|0|0|0|0|0|0|0|0|0|0|45|No Report
Algeria|0|0|0|0|0|0|0|0|0|0|0|0| |No Report
Anguilla| |0| | | | |0| | | |0|0| |No Report
Antigua and Barbuda| |0| | | | |0| | | |0|0| |No Report
Argentina| |0| | | | |0| | | |0|0| |No Report
Armenia| |13|0|0| |0|0|0|0|0|0|0| |No Report
Aruba| |0| | | | |0| | | |0|0| |No Report
Australia|3855|4782| |3| |55|58| | |0|0|58|4724|Sporadic
Austria| |320|0|29| |24|53|0|0|0|0|53| |No Report
Azerbaijan| |2|0|0| |0|0|0|0|0|0|0| |No Report
Bahamas| |0| | | | |0| | | |0|0| |No Report
Bangladesh|293|235|0|0|0|0|0|0|0|0|0|0|235|No Activity
Barbados| |0| | | | |0| | | |0|0| |No Report
Belarus| |70|0|0| |0|0|0|0|0|0|0| |No Report
Belgium| |5|0|1| |0|1|0|0|0|0|1| |No Report
Belize| |8|0|1| |0|1|0|0|0|0|1|7|No Report
Bermuda| |0| | | | |0| | | |0|0| |No Report
Bhutan|1|0|0|0|0|0|0|0|0|0|0|0| |No Report
Bolivia (Plurinational State of)| |1|0|0| |0|0|0|0|0|0|0|1|No Report
Brazil| |778|0|1| |0|1|0|0|0|0|1|777|No Report
British Virgin Islands| |0| | | | |0| | | |0|0| |No Report
Bulgaria| |4|0|2| |0|2|0|0|0|0|2| |No Report
Canada|13311|13311|0|123| |359|482| | |2|2|484| |No Report
Cayman Islands| |0| | | | |0| | | |0|0| |No Report
Chile| |1205|0|20| |18|38|0|0|0|0|38|1167|No Report
China|770|770|0|0| | |0|0|0|0|0|0| |No Report
Colombia| |894|0|1| |0|1|0|0|0|0|1|893|No Report
Costa Rica| |39|0|0| |0|0|0|0|0|0|0|39|No Report
Côte d'Ivoire|71|71|0|0|0|0|0| | | |0|0|71|Sporadic
Croatia| |541|0|17| |31|48|0|0|0|0|48| |No Report
Cuba| |0| | | | |0| | | |0|0| |No Report
Denmark| |8352|5|111| |1115|1231|0|0|4|4|1235| |No Report
Dominica| |0|0|0| |0|0|0|0|0|0|0| |No Report
Dominican Republic| |2|0|0| |0|0|0|0|0|0|0|2|No Report
Ecuador| |0| | | | |0| | | |0|0| |No Report
El Salvador| |6|0|1| |0|1|0|0|0|0|1|5|No Report
Estonia| |107|0|7| |11|18|0|0|0|0|18| |No Report
Ethiopia|122|122| |12|0|0|12| | |9|9|21|101|No Report
Finland| |5|0|2| |0|2|0|0|0|0|2| |No Report
France| |14764|210|101| |1161|1472|0|0|3|3|1475| |No Report
Georgia| |98|0|27| |0|27|0|0|0|0|27| |No Report
Germany| |101|1|23| |0|24|0|0|0|0|24| |No Report
Ghana|43|43|0|3|0| |3|0|0|0|0|3|40|No Report
Greece| |3|0|1| |0|1|0|0|0|0|1| |No Report
Grenada| |0| | | | |0| | | |0|0| |No Report
Guatemala| |23|0|0| |0|0|0|0|0|0|0|23|No Report
Haiti| |19|0|0| |0|0|0|0|0|0|0|19|No Report
Honduras| |6|0|0| |0|0|0|0|0|0|0|6|No Report
Hungary| |20|0|6| |22|28|0|0|1|1|29| |No Report
Iceland| |276|0|106| |0|106|0|0|0|0|106| |No Report
India|870|870| |1| | |1| | | |0|1| |No Report
Iran (Islamic Republic of)|227|227|0|2|0|0|2|0|0|0|0|2| |No Report
Iraq|54|54| | | | |0| | | |0|0|54|No Report
Ireland| |181|0|14| |0|14|0|0|0|0|14| |No Report
Italy|567|567|1|98|0|29|128|0|0|1|1|129|438|No Report
Jamaica| |0|0|0| |0|0|0|0|0|0|0| |No Report
Japan| | |0|0|0|0|0|0|0|0|0|0|58|No Activity
Kazakhstan| |194|0|0| |0|0|0|0|1|1|1| |No Report
Kenya|51|51|0|0|0|0|0|0|0|0|0|0|51|No Report
Kosovo (in accordance with Security Council resolution 1244 (1999))| |0|0|0| |0|0|0|0|0|0|0| |No Report
Kyrgyzstan| |7|0|0| |0|0|0|0|0|0|0| |No Report
Lao People's Democratic Republic|93|93|0|0|0|0|0|0|0|0|0|0|93|No Report
Latvia| |26|0|2| |3|5|0|0|0|0|5| |No Report
Lithuania| |319|0|44| |1|45|0|0|0|0|45| |No Report
Luxembourg| |106|0|0| |39|39|0|0|3|3|42| |No Report
Malaysia|625|614|0|10| |1|11| | |3|3|14|453|Sporadic
Maldives|8|6|0|0|0|0|0|0|0|0|0|0| |No Activity
Mexico| |172|0|17| |0|17|0|0|0|0|17|153|No Report
Mongolia|117|117|0|14|0|3|17|0|0|0|0|17| |No Report
Montenegro| |36|0|5| |0|5|0|1|0|1|6| |No Report
Morocco|0|0|0|0|0|0|0|0|0|0|0|0| |No Activity
Mozambique|29|29|0|0|0|0|0|0|0|0|0|0|29|No Report
Nepal|188|188|0|0|0| |0|0|0|0|0|0|188|No Report
Netherlands| |54|21|96| |1287|1404|0|8|16|24|1428| |No Report
Nicaragua| |53|0|0| |6|6|0|0|0|0|6|47|No Report
Nigeria|0|0|0|0|0|0|0|0|0|0|0|0| |No Report
Norway| |7265|8|147| |1059|1214|0|0|5|5|1219| |No Report
Oman|96|96| | | |0|0| | |0|0|0|23|No Report
Pakistan|546|546|7|0|0|0|7|0|0|0|0|7|539|No Report
Panama| |126|0|1| |0|1| | | |0|1|125|No Report
Paraguay| |24| |1| | |1| | | |0|1|23|No Report
Peru| |238|0|59| |0|59|0|0|0|0|59|179|No Report
Philippines|22|22|0|0|0|0|0|0|0|0|0|0|22|Sporadic
Poland| |59|0|1| |29|30|0|0|8|8|38| |No Report
Portugal| |2893|4|243| |442|689|0|0|5|5|694| |No Report
Republic of Korea|67|67|0|0| | |0|0|0| |0|0|67|No Report
Republic of Moldova| |153|0|4| |1|5|0|0|0|0|5| |No Report
Romania| |732|0|34| |91|125|0|0|0|0|125| |No Report
Russian Federation| |3295|0|5| |0|5|0|0|15|15|20| |No Report
Saint Kitts and Nevis| |0| | | | |0| | | |0|0| |No Report
